Complexity,Loss,Equation
1,0.99503565,"-0.0025429204"
2,0.9809669,"cos(x3)"
3,0.0007175204,"x3 * -0.99716264"
5,0.0007110512,"(x3 * -0.99716055) - 0.0025432822"
6,0.0006946342,"(exp(x3) * 0.0016870339) - x3"
7,0.00044586684,"(exp(square(x3)) * 7.460238e-5) - x3"
8,0.00044584926,"sin(exp(square(x3)) * 7.498262e-5) - x3"
9,0.0004176346,"(exp(square(x3)) * 7.848024e-5) + (-0.005384013 - x3)"
11,0.00041071445,"(-0.0053839805 - x3) + (exp(square(x3) + x1) * 7.847994e-5)"
12,0.00040256142,"(exp(sin(x1) + square(x3)) * 7.482024e-5) + (-0.0052890293 - x3)"
13,0.0003913669,"(exp(square(x3) + x1) * 7.76571e-5) + (-0.005466301 - (x3 * 1.0043172))"
15,0.00038266074,"(x3 * square(0.014014813 * square(x1 - ((1.2808567 - x3) * x3)))) - x3"
16,0.00032744175,"(((x1 - ((x3 * x3) * cos(0.650838 - x3))) * x3) * 0.013438743) - x3"
17,0.00027267376,"((square(x1) - ((x3 * x3) * cos(x3 - 0.71986526))) * (x3 * 0.01547796)) - x3"
18,0.00027016524,"(0.01547796 * (x3 * (square(x1) - ((x3 * x3) * sin(cos(0.71986526 - x3)))))) - x3"
19,0.00024598904,"((x3 * 0.01547796) * (square(x1 / 0.77958894) - (x3 * (x3 * cos(0.71986526 - x3))))) - x3"
21,0.0002178817,"(((square((x1 / -0.771476) - 0.24092227) - (sin((2.3151317 - x3) * x3) * x3)) * x3) * 0.0144167645) - x3"
27,0.00021428014,"((((exp(x1) * square(x0)) - (sin((2.357897 - x3) * x3) * x3)) + square(x1 * 1.0318115)) * ((x3 + -0.031028349) * 0.017927859)) - x3"
